disease,diet_1,diet_2,diet_3,diet_4,diet_5,disease_code
chronic obstructive pulmonary disease (copd),balanced diet,healthy fats,fruits and vegetables,lean proteins,whole grains,125
lice,topical treatments,good hygiene practices,not specified,not specified,not specified,418
osteoporosis,calcium-rich foods,vitamin d-rich foods,weight-bearing exercises,not specified,not specified,519
depression,omega-3 rich foods,leafy greens,whole grains,nuts and seeds,fermented foods,174
liver disease,low-fat foods,high-fiber vegetables,fruits,whole grains,lean protein,423
chronic kidney disease,low-potassium foods,low-phosphorus foods,low-sodium foods,controlled protein diet,white rice,123
gastritis,plain yogurt,bananas,ginger tea,oatmeal,boiled vegetables,283
anemia,iron-rich foods,vitamin c foods,leafy greens,legumes,red meat,38
panic disorder,avoid caffeine,magnesium-rich foods,omega-3-rich foods,tryptophan-rich foods,balanced diet,531
vocal cord polyp,adequate hydration,avoid spicy foods,low-acid diet,anti-inflammatory diet,warm herbal teas,761
turner syndrome,calcium-rich foods,vitamin d-rich foods,low-cholesterol diet,folate-rich foods,adequate hydration,727
cryptorchidism,zinc-rich foods,vitamin d-rich foods,antioxidant-rich foods,balanced diet,avoid endocrine disruptors,160
poisoning due to ethylene glycol,adequate hydration,electrolyte-rich foods,liver-protective foods,avoid alcohol,bland diet,573
atrophic vaginitis,phytoestrogen-rich foods,omega-3-rich foods,calcium-rich foods,vitamin d-rich foods,probiotic-rich foods,63
fracture of the hand,calcium-rich foods,vitamin d-rich foods,protein-rich diet,anti-inflammatory diet,adequate hydration,264
cellulitis or abscess of mouth,soft diet,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,adequate hydration,103
eye alignment disorder,vitamin a-rich foods,omega-3-rich fish,antioxidant-rich diet,zinc-rich foods,adequate hydration,239
headache after lumbar puncture,adequate hydration,caffeine in moderation,electrolyte-rich foods,balanced diet,avoid alcohol,304
pyloric stenosis,small frequent meals,thickened feeds (infants),high-calorie diet,electrolyte-rich foods,adequate hydration,615
salivary gland disorder,adequate hydration,soft bland diet,vitamin c-rich foods,avoid acidic foods,warm soups,629
osteochondrosis,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,protein-rich diet,anti-inflammatory diet,517
injury to the knee,anti-inflammatory diet,collagen-boosting foods,calcium-rich foods,protein-rich diet,adequate hydration,380
metabolic disorder,balanced diet,low-glycemic foods,high-fiber diet,lean proteins,adequate hydration,447
vaginitis,probiotic-rich foods,low-sugar diet,vitamin c-rich foods,adequate hydration,anti-inflammatory diet,745
sick sinus syndrome,low-caffeine diet,magnesium-rich foods,potassium-rich foods,heart-healthy diet,adequate hydration,649
tinnitus of unknown cause,low-sodium diet,zinc-rich foods,magnesium-rich foods,avoid caffeine,omega-3-rich fish,708
eating disorder,balanced nutritious diet,regular meal schedule,adequate calorie intake,nutrient-dense foods,support from dietitian,213
transient ischemic attack,heart-healthy diet,low-sodium diet,omega-3-rich fish,fruits and vegetables,avoid excess alcohol,718
pyelonephritis,adequate hydration,cranberry products,vitamin c-rich foods,probiotics,low-sodium diet,614
rotator cuff injury,anti-inflammatory diet,protein-rich diet,vitamin c-rich foods,collagen-boosting foods,omega-3-rich fish,628
chronic pain disorder,anti-inflammatory diet,omega-3-rich fish,magnesium-rich foods,antioxidant-rich foods,low-sugar diet,127
problem during pregnancy,folate-rich foods,iron-rich foods,calcium-rich foods,protein-rich diet,adequate hydration,598
liver cancer,low-fat diet,high-protein diet,antioxidant-rich foods,avoid alcohol,adequate hydration,422
atelectasis,high-protein diet,adequate hydration,antioxidant-rich foods,vitamin c-rich foods,small frequent meals,57
injury to the hand,anti-inflammatory diet,protein-rich diet,calcium-rich foods,vitamin c-rich foods,adequate hydration,378
choledocholithiasis,low-fat diet,high-fiber diet,small frequent meals,avoid fried foods,adequate hydration,115
injury to the hip,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,protein-rich diet,adequate hydration,379
cirrhosis,low-sodium diet,high-protein diet,small frequent meals,avoid alcohol,zinc-rich foods,132
thoracic aortic aneurysm,heart-healthy diet,low-sodium diet,omega-3-rich fish,antioxidant-rich foods,avoid saturated fats,698
subdural hemorrhage,anti-inflammatory diet,vitamin k-consistent diet,adequate hydration,antioxidant-rich foods,adequate protein,683
ischemia of the bowel,low-fat diet,small frequent meals,adequate hydration,anti-inflammatory diet,soft bland foods,400
fetal alcohol syndrome,nutrient-dense diet,b-vitamin-rich foods,iron-rich foods,omega-3-rich foods,avoid alcohol,243
injury to the abdomen,soft diet initially,high-protein diet,anti-inflammatory foods,adequate hydration,small frequent meals,374
acute pancreatitis,clear liquids initially,low-fat diet,small frequent meals,high-carbohydrate foods,avoid alcohol,17
thrombophlebitis,omega-3-rich fish,anti-inflammatory diet,vitamin k-consistent diet,adequate hydration,antioxidant-rich foods,702
foreign body in the vagina,probiotic-rich foods,vitamin c-rich foods,adequate hydration,anti-inflammatory diet,balanced diet,258
restless leg syndrome,iron-rich foods,magnesium-rich foods,folate-rich foods,avoid caffeine,adequate hydration,620
emphysema,high-calorie diet,small frequent meals,anti-inflammatory diet,omega-3-rich fish,adequate hydration,218
cysticercosis,immune-boosting foods,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,high-protein diet,164
induced abortion,iron-rich foods,folate-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,367
teething syndrome,cool soft foods,chilled cucumber sticks,smooth purees,cold yogurt,adequate hydration,689
infectious gastroenteritis,bland diet (brat),oral rehydration,probiotics,adequate hydration,electrolyte-rich foods,369
acute sinusitis,adequate hydration,vitamin c-rich foods,anti-inflammatory foods,warm soups and broths,spicy foods,19
substance-related mental disorder,nutrient-dense diet,b-vitamin-rich foods,protein-rich diet,antioxidant-rich foods,avoid alcohol,684
postpartum depression,omega-3-rich fish,folate-rich foods,iron-rich foods,tryptophan-rich foods,b-vitamin-rich foods,583
coronary atherosclerosis,heart-healthy diet,low-saturated fat,omega-3-rich fish,whole grains,fruits and vegetables,154
spondylitis,anti-inflammatory diet,omega-3-rich fish,calcium-rich foods,vitamin d-rich foods,adequate hydration,667
pituitary adenoma,balanced diet,low-sodium if needed,calcium-rich foods,vitamin d-rich foods,adequate hydration,557
uterine fibroids,low-fat diet,high-fiber diet,cruciferous vegetables,iron-rich foods,avoid excess red meat,739
idiopathic nonmenstrual bleeding,iron-rich foods,vitamin k-rich foods,vitamin c-rich foods,anti-inflammatory diet,adequate hydration,361
ovarian torsion,anti-inflammatory diet,adequate hydration,iron-rich foods,protein-rich diet,balanced diet,525
retinopathy due to high blood pressure,low-sodium diet,antioxidant-rich diet,omega-3-rich fish,leafy green vegetables,adequate hydration,622
vaginal yeast infection,antifungal diet,probiotics,low-sugar diet,garlic,vitamin c-rich foods,743
mastoiditis,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,440
lung contusion,high-protein diet,vitamin c-rich foods,antioxidant-rich foods,adequate hydration,anti-inflammatory diet,426
hypertrophic obstructive cardiomyopathy (hocm),low-sodium diet,adequate hydration,heart-healthy diet,avoid alcohol,small frequent meals,349
ingrown toe nail,anti-inflammatory diet,zinc-rich foods,vitamin c-rich foods,adequate hydration,balanced diet,370
pulmonary eosinophilia,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,vitamin d-rich foods,610
corneal disorder,vitamin a-rich foods,omega-3-rich fish,antioxidant-rich diet,zinc-rich foods,adequate hydration,153
foreign body in the gastrointestinal tract,clear liquid diet,soft foods,high-fiber diet,adequate hydration,avoid hard foods,255
endophthalmitis,immune-boosting foods,vitamin a-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,225
intestinal malabsorption,nutrient-dense diet,small frequent meals,fat-soluble vitamins,easily digestible foods,adequate hydration,391
viral warts,immune-boosting foods,zinc-rich foods,vitamin c-rich foods,antioxidant-rich diet,adequate hydration,755
hyperhidrosis,avoid spicy foods,avoid caffeine,adequate hydration,low-sodium diet,anti-inflammatory diet,341
pilonidal cyst,high-fiber diet,adequate hydration,anti-inflammatory diet,vitamin c-rich foods,zinc-rich foods,554
crushing injury,high-protein diet,iron-rich foods,vitamin c-rich foods,antioxidant-rich foods,adequate hydration,158
normal pressure hydrocephalus,low-sodium diet,anti-inflammatory diet,adequate hydration,omega-3-rich fish,antioxidant-rich foods,480
alopecia,iron-rich foods,biotin-rich foods,protein-rich diet,zinc-rich foods,omega-3-rich fish,31
hashimoto thyroiditis,selenium-rich foods,anti-inflammatory diet,omega-3-rich fish,gluten-free if needed,avoid raw goitrogens,301
flat feet,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,weight management diet,adequate hydration,247
nonalcoholic liver disease (nash),low-fructose diet,low-saturated fat,high-fiber diet,omega-3-rich fish,avoid alcohol,478
hemarthrosis,iron-rich foods,vitamin k-rich foods,vitamin c-rich foods,anti-inflammatory diet,adequate hydration,312
pelvic organ prolapse,high-fiber diet,adequate hydration,calcium-rich foods,protein-rich diet,weight management diet,540
fracture of the arm,calcium-rich foods,vitamin d-rich foods,protein-rich diet,vitamin c-rich foods,anti-inflammatory diet,260
coagulation (bleeding) disorder,vitamin k-rich foods,iron-rich foods,vitamin c-rich foods,folate-rich foods,adequate hydration,133
intracranial hemorrhage,low-sodium diet,anti-inflammatory diet,adequate hydration,antioxidant-rich foods,avoid alcohol,395
hyperkalemia,low-potassium diet,avoid high-potassium foods,low-sodium diet,adequate hydration,balanced diet,342
cornea infection,vitamin a-rich foods,zinc-rich foods,vitamin c-rich foods,omega-3-rich fish,immune-boosting foods,151
abscess of the lung,high-protein diet,immune-boosting foods,vitamin c-rich foods,adequate hydration,antioxidant-rich foods,3
dengue fever,adequate hydration,papaya leaf extract,fruits and vegetables,high-calorie diet,protein-rich foods,172
chronic sinusitis,anti-inflammatory diet,adequate hydration,spicy foods,vitamin c-rich foods,avoid dairy if sensitive,130
cholesteatoma,balanced diet,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,adequate hydration,116
volvulus,low-fiber diet,small frequent meals,clear liquids,soft easy-to-digest foods,adequate hydration,762
injury to the finger,anti-inflammatory diet,calcium-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,377
poisoning due to analgesics,adequate hydration,liver-protective foods,avoid alcohol,electrolyte-rich foods,bland diet,567
atrial fibrillation,low-sodium diet,potassium-rich foods,magnesium-rich foods,omega-3-rich fish,avoid excess caffeine,60
pinworm infection,high-fiber diet,adequate hydration,garlic,probiotic-rich foods,avoid excess sugar,556
urethral valves,adequate hydration,low-sodium diet,anti-inflammatory diet,balanced diet,avoid bladder irritants,732
open wound of the neck,soft diet if needed,high-protein diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,505
achalasia,soft and liquid diet,small frequent meals,avoid hard foods,warm liquids,nutrient-dense smoothies,7
conductive hearing loss,zinc-rich foods,vitamin d-rich foods,magnesium-rich foods,folate-rich foods,anti-inflammatory diet,141
abdominal hernia,high-fiber diet,low-fat foods,small frequent meals,avoid constipating foods,adequate hydration,1
marijuana abuse,balanced diet,omega-3-rich foods,b-vitamin-rich foods,antioxidant-rich foods,adequate hydration,438
cryptococcosis,immune-boosting foods,antifungal diet,adequate hydration,high-protein diet,antioxidant-rich foods,159
indigestion,small frequent meals,avoid trigger foods,low-acid diet,ginger tea,adequate hydration,366
bursitis,anti-inflammatory diet,omega-3-rich fish,vitamin e-rich foods,avoid refined sugar,adequate hydration,93
esophageal cancer,soft diet,high-protein diet,antioxidant-rich foods,small frequent meals,adequate hydration,233
pulmonary congestion,low-sodium diet,fluid restriction,heart-healthy diet,omega-3-rich fish,avoid alcohol,608
juvenile rheumatoid arthritis,anti-inflammatory diet,omega-3-rich fish,calcium-rich foods,vitamin d-rich foods,antioxidant-rich foods,405
actinic keratosis,antioxidant-rich diet,beta-carotene foods,vitamin c-rich foods,omega-3-rich fish,green tea,9
acute otitis media,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,16
tuberous sclerosis,balanced diet,anti-inflammatory foods,omega-3-rich fish,antioxidant-rich foods,adequate hydration,726
empyema,high-protein diet,vitamin c-rich foods,immune-boosting foods,adequate hydration,antioxidant-rich foods,219
presbyacusis,antioxidant-rich diet,omega-3-rich fish,folate-rich foods,zinc-rich foods,adequate hydration,591
neonatal jaundice,frequent breastfeeding,adequate hydration,high-calorie intake,vitamin d if needed,monitor feeding frequency,472
dislocation of the elbow,anti-inflammatory diet,calcium-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,186
spondylosis,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,adequate hydration,669
herpangina,soft cold diet,adequate hydration,cool liquids,avoid acidic foods,smooth foods like yogurt,322
injury to the shoulder,anti-inflammatory diet,protein-rich diet,calcium-rich foods,vitamin c-rich foods,adequate hydration,382
poisoning due to antidepressants,adequate hydration,electrolyte-rich foods,bland diet,avoid alcohol,b-vitamin-rich foods,569
infection of open wound,high-protein diet,vitamin c-rich foods,zinc-rich foods,immune-boosting foods,adequate hydration,368
deep vein thrombosis (dvt),anti-inflammatory diet,omega-3-rich fish,vitamin k-consistent diet,adequate hydration,avoid excess vitamin k if on warfarin,168
protein deficiency,high-protein diet,lean meats and fish,legumes and pulses,dairy products,nuts and seeds,601
myoclonus,magnesium-rich foods,b-vitamin-rich foods,anti-inflammatory diet,adequate hydration,avoid caffeine,466
bone spur of the calcaneous,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,magnesium-rich foods,84
von willebrand disease,vitamin k-rich foods,iron-rich foods,vitamin c-rich foods,folate-rich foods,avoid aspirin-containing foods,763
open wound of the back,high-protein diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,anti-inflammatory diet,491
heart block,low-sodium diet,potassium-rich foods,magnesium-rich foods,heart-healthy diet,avoid caffeine,306
colonic polyp,high-fiber diet,cruciferous vegetables,low red meat diet,avoid processed meats,calcium-rich foods,135
magnesium deficiency,magnesium-rich foods,leafy green vegetables,nuts and seeds,whole grains,legumes,434
female infertility of unknown cause,folate-rich foods,iron-rich foods,omega-3-rich fish,antioxidant-rich foods,mediterranean diet,242
attention deficit hyperactivity disorder (adhd),omega-3-rich foods,protein-rich diet,avoid artificial additives,iron-rich foods,zinc-rich foods,65
pulmonic valve disease,low-sodium diet,heart-healthy diet,omega-3-rich fish,fruits and vegetables,avoid alcohol,613
tietze syndrome,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,adequate hydration,707
cranial nerve palsy,vitamin b12 foods,omega-3-rich fish,anti-inflammatory diet,antioxidant-rich foods,adequate hydration,155
injury to the arm,anti-inflammatory diet,protein-rich diet,calcium-rich foods,vitamin c-rich foods,adequate hydration,375
conversion disorder,balanced diet,b-vitamin-rich foods,omega-3-rich foods,magnesium-rich foods,avoid excess caffeine,150
complex regional pain syndrome,anti-inflammatory diet,omega-3-rich fish,vitamin c-rich foods,magnesium-rich foods,antioxidant-rich foods,138
otosclerosis,fluoride-rich foods,calcium-rich foods,vitamin d-rich foods,vitamin k-rich foods,adequate hydration,522
injury to the trunk,high-protein diet,anti-inflammatory foods,iron-rich foods,vitamin c-rich foods,adequate hydration,384
primary insomnia,tryptophan-rich foods,magnesium-rich foods,avoid caffeine after noon,avoid large meals before bed,cherry juice,595
vulvodynia,anti-inflammatory diet,low-oxalate diet,omega-3-rich fish,magnesium-rich foods,avoid acidic foods,766
vasculitis,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,vitamin c-rich foods,low-sodium diet,749
concussion,omega-3-rich fish,antioxidant-rich foods,anti-inflammatory diet,magnesium-rich foods,adequate hydration,139
oral leukoplakia,avoid tobacco and alcohol,vitamin a-rich foods,antioxidant-rich diet,vitamin c-rich foods,soft diet,510
bladder disorder,adequate hydration,avoid bladder irritants,low-acid diet,high-fiber diet,pumpkin seed extract,78
chorioretinitis,antioxidant-rich diet,vitamin a-rich foods,omega-3-rich fish,zinc-rich foods,lutein-rich foods,118
priapism,adequate hydration,anti-inflammatory diet,iron-rich foods,avoid alcohol,balanced diet,593
myositis,anti-inflammatory diet,high-protein diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,468
polycystic kidney disease,low-sodium diet,adequate hydration,low-protein if advanced,low-phosphorus diet,avoid excess caffeine,577
bipolar disorder,omega-3-rich foods,b-vitamin-rich foods,magnesium-rich foods,avoid alcohol,stable blood sugar diet,75
amyloidosis,low-sodium diet,high-fiber diet,lean proteins,adequate hydration,anti-inflammatory foods,34
chronic inflammatory demyelinating polyneuropathy (cidp),anti-inflammatory diet,omega-3-rich fish,vitamin b12 foods,antioxidant-rich foods,adequate hydration,122
gastroesophageal reflux disease (gerd),low-acid diet,fiber-rich foods,ginger,licorice,aloe vera juice,285
vitreous hemorrhage,antioxidant-rich diet,vitamin k-consistent diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,760
poisoning due to antimicrobial drugs,probiotic-rich foods,adequate hydration,liver-supporting foods,bland diet,electrolyte-rich foods,571
open wound of the mouth,soft diet,cool liquids,vitamin c-rich foods,zinc-rich foods,adequate hydration,504
scleroderma,anti-inflammatory diet,small frequent meals,high-calorie diet,soft diet if needed,omega-3-rich fish,637
idiopathic absence of menstruation,nutrient-dense diet,iron-rich foods,folate-rich foods,adequate calorie intake,balanced diet,357
dislocation of the ankle,anti-inflammatory diet,calcium-rich foods,vitamin c-rich foods,protein-rich diet,adequate hydration,185
panic attack,avoid caffeine,magnesium-rich foods,b-vitamin-rich foods,omega-3-rich foods,balanced diet,530
plantar fasciitis,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,weight management diet,adequate hydration,562
hyperopia,antioxidant-rich diet,vitamin a-rich foods,omega-3-rich fish,lutein-rich foods,adequate hydration,345
poisoning due to sedatives,adequate hydration,electrolyte-rich foods,bland diet,liver-supporting foods,avoid alcohol,576
pemphigus,soft bland diet,avoid spicy and acidic foods,high-protein diet,vitamin c-rich foods,adequate hydration,541
peyronie disease,vitamin e-rich foods,anti-inflammatory diet,omega-3-rich fish,antioxidant-rich foods,adequate hydration,551
hiatal hernia,small frequent meals,low-acid diet,avoid lying after meals,high-fiber diet,adequate hydration,323
extrapyramidal effect of drugs,balanced diet,magnesium-rich foods,b-vitamin-rich foods,antioxidant-rich foods,adequate hydration,238
meniere disease,low-sodium diet,adequate hydration,avoid caffeine,avoid alcohol,magnesium-rich foods,443
anal fissure,high-fiber diet,adequate hydration,avoid constipating foods,fruits and vegetables,whole grains,36
chronic otitis media,immune-boosting foods,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,126
fracture of the finger,calcium-rich foods,vitamin d-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,262
hirschsprung disease,high-fiber diet,adequate hydration,soft easy-to-digest foods,avoid constipating foods,probiotic-rich foods,326
polymyalgia rheumatica,anti-inflammatory diet,omega-3-rich fish,vitamin d-rich foods,calcium-rich foods,antioxidant-rich foods,580
lymphedema,low-sodium diet,anti-inflammatory diet,adequate protein,antioxidant-rich foods,adequate hydration,430
bladder cancer,antioxidant-rich diet,cruciferous vegetables,adequate hydration,low-fat diet,avoid processed meats,77
acute bronchospasm,anti-inflammatory diet,omega-3-rich foods,avoid sulfites,magnesium-rich foods,vitamin d foods,12
acute glaucoma,antioxidant-rich diet,low-sodium foods,leafy green vegetables,omega-3-rich fish,avoid caffeine,14
open wound of the chest,high-protein diet,vitamin c-rich foods,zinc-rich foods,anti-inflammatory diet,adequate hydration,493
dislocation of the patella,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,protein-rich diet,adequate hydration,191
hypercalcemia,adequate hydration,low-calcium diet,avoid vitamin d supplements,high-fiber foods,avoid milk excess,337
stress incontinence,adequate hydration,high-fiber diet,avoid bladder irritants,magnesium-rich foods,weight management diet,676
benign kidney cyst,adequate hydration,low-sodium diet,antioxidant-rich foods,low-protein diet if needed,fruits and vegetables,71
hydrocele of the testicle,anti-inflammatory diet,adequate hydration,low-sodium foods,balanced diet,zinc-rich foods,334
degenerative disc disease,anti-inflammatory diet,calcium-rich foods,vitamin d-rich foods,omega-3-rich fish,collagen-boosting foods,169
hirsutism,low-glycemic diet,low-androgen diet,high-fiber foods,anti-inflammatory diet,spearmint tea,327
dislocation of the foot,anti-inflammatory diet,calcium-rich foods,protein-rich diet,vitamin c-rich foods,adequate hydration,188
hydronephrosis,adequate hydration,low-sodium diet,low-oxalate diet,low-protein if kidney affected,citrus fruits,336
diverticulosis,high-fiber diet,adequate hydration,fruits and vegetables,whole grains,probiotic-rich foods,197
pain after an operation,high-protein diet,anti-inflammatory diet,vitamin c-rich foods,zinc-rich foods,adequate hydration,527
huntington disease,high-calorie diet,finger foods if needed,omega-3-rich fish,antioxidant-rich foods,adequate hydration,332
